Period,Promoters +,FIIs +,DIIs +,Public +,No. of Shareholders,Stock,Government +,Others +
2023-03-01,32.82%,17.83%,7.83%,41.50%,283459,PRAJIND,,
2023-03-01,50.41%,22.49%,16.06%,10.89%,3639396,RELIANCE,0.16%,
2023-03-01,65.00%,4.69%,12.40%,17.91%,1521988,SAIL,0.00%,
2023-03-01,71.89%,9.51%,0.11%,18.48%,25118,SKIPPER,,
2023-03-01,14.50%,7.64%,5.55%,72.30%,2442672,SUZLON,0.00%,
2023-03-01,46.39%,15.34%,17.69%,20.41%,3814831,TATAMOTORS,0.14%,
2023-03-01,68.11%,7.89%,10.20%,13.63%,1411551,VEDL,0.07%,0.11%
2023-03-01,,23.10%,37.77%,39.10%,5057387,YESBANK,0.01%,
2023-03-01,74.98%,3.42%,13.51%,8.01%,338570,ZYDUSLIFE,0.07%,
2023-06-01,75.00%,9.46%,8.07%,7.48%,109435,ABB,,
2023-06-01,56.27%,18.25%,1.47%,24.00%,692340,ADANIGREEN,,
2023-06-01,62.89%,16.99%,12.45%,7.66%,1024111,ADANIPORTS,0.00%,
2023-06-01,51.14%,17.35%,24.84%,6.68%,767820,BEL,,
2023-06-01,63.17%,7.77%,16.36%,12.71%,1012617,BHEL,,
2023-06-01,15.00%,15.10%,22.03%,47.87%,832125,CDSL,,
2023-06-01,33.46%,25.49%,24.05%,16.76%,466515,CIPLA,0.21%,
2023-06-01,26.69%,26.99%,21.99%,24.11%,246769,DRREDDY,,0.21%
2023-06-01,45.99%,12.86%,19.77%,21.36%,694188,EXIDEIND,,
2023-06-01,71.64%,11.90%,10.64%,5.81%,420694,HAL,0.00%,
2023-06-01,64.92%,0.81%,2.95%,1.77%,342539,HINDZINC,29.54%,
2023-06-01,50.36%,2.29%,0.73%,13.44%,3188356,IDEA,33.18%,
2023-06-01,86.36%,1.14%,2.02%,10.49%,1805740,IRFC,,
2023-06-01,56.48%,20.72%,7.61%,15.19%,106989,JMFINANCIL,,
2023-06-01,63.57%,7.96%,13.12%,15.35%,60583,KAYNES,,
2023-06-01,74.45%,1.54%,2.51%,21.49%,42958,KOLTEPATIL,,
