Period,Stock,Total Assets,Investments,Borrowings,Sales,Net Profit,EPS in Rs,Dividend Payout %,Net Cash Flow
2019-03-01,PRAJIND,1247.0,211.0,0.0,1141.0,68,3.73,57%,-14.0
2019-03-01,RELIANCE,997630.0,235635.0,307714.0,568337.0,39837,29.28,10%,3745.0
2019-03-01,SAIL,118201.0,2975.0,45170.0,66973.0,2349,5.69,9%,-28.0
2019-03-01,SKIPPER,1653.0,9.0,523.0,1871.0,31,2.76,8%,0.0
2019-03-01,SUZLON,8871.0,20.0,11552.0,5025.0,-1537,-2.32,0%,-506.0
2019-03-01,TATAMOTORS,305703.0,15771.0,106175.0,301938.0,-28724,-99.84,0%,6843.0
2019-03-01,VEDL,198568.0,33065.0,66226.0,92048.0,9698,19.01,99%,2918.0
2019-03-01,YESBANK,380860.0,89329.0,,,1709,7.38,27%,2231.0
2019-03-01,ZYDUSLIFE,23231.0,674.0,7899.0,13166.0,1899,18.06,19%,-811.0
2020-03-01,ADANIGREEN,18424.0,476.0,14866.0,2549.0,-68,-0.15,0%,383.0
2020-03-01,ADANIPORTS,61917.0,1178.0,30242.0,11873.0,3785,18.52,17%,2397.0
2020-03-01,BEL,24351.0,1110.0,8.0,12968.0,1825,2.5,37%,861.0
2020-03-01,BHEL,60291.0,162.0,5080.0,21463.0,-1468,-4.21,0%,608.0
2020-03-01,CDSL,862.0,665.0,0.0,225.0,107,5.08,44%,-1.0
2020-03-01,CIPLA,23423.0,1471.0,2816.0,17132.0,1500,19.18,21%,234.0
2020-03-01,DRREDDY,23223.0,2678.0,2210.0,17517.0,2026,24.38,21%,-27.0
2020-03-01,EXIDEIND,24351.0,15816.0,196.0,14471.0,762,9.14,45%,-9.0
2020-03-01,HAL,54203.0,991.0,5927.0,21445.0,2883,43.1,39%,252.0
2020-03-01,IDEA,226918.0,1979.0,114996.0,44958.0,-73878,-25.71,0%,-389.0
2020-03-01,JMFINANCIL,20746.0,4014.0,11756.0,3446.0,778,6.48,3%,58.0
2020-03-01,KAYNES,378.0,2.0,153.0,368.0,9,13.94,0%,0.0
2020-03-01,KOLTEPATIL,3730.0,1.0,747.0,1130.0,100,9.55,0%,39.0
2020-03-01,KOTAKBANK,443173.0,111197.0,,,8593,44.92,0%,32815.0
2020-03-01,KPITTECH,1637.0,9.0,204.0,2156.0,148,5.38,18%,75.0
2020-03-01,LAURUSLABS,3750.0,3.0,1079.0,2832.0,255,4.77,10%,-1.0
2020-03-01,MOTILALOFS,10084.0,3088.0,4627.0,2358.0,190,3.1,32%,470.0
2020-03-01,NMDC,31294.0,910.0,566.0,11699.0,3573,3.89,45%,60.0
2020-03-01,PAYTM,10302.0,3740.0,428.0,3279.0,-2942,-470.27,0%,786.0
2020-03-01,PRAJIND,1162.0,164.0,0.0,1102.0,70,3.85,70%,-18.0
2020-03-01,RELIANCE,1163015.0,276767.0,355133.0,596679.0,39880,29.1,10%,19839.0
2020-03-01,SAIL,127198.0,3240.0,54127.0,61664.0,2121,5.13,0%,125.0
2020-03-01,SKIPPER,1713.0,9.0,454.0,1391.0,41,3.65,2%,0.0
2020-03-01,SUZLON,6530.0,20.0,13210.0,2973.0,-2692,-4.01,0%,8.0
2020-03-01,TATAMOTORS,320179.0,16308.0,124788.0,261068.0,-11975,-39.08,0%,-3092.0
2020-03-01,VEDL,180737.0,24753.0,59187.0,84447.0,-4744,-17.93,-22%,-2172.0
2020-03-01,YESBANK,257832.0,43748.0,,,-16433,-13.09,0%,-18555.0
2020-03-01,ZYDUSLIFE,23477.0,765.0,7986.0,14253.0,1204,11.49,30%,399.0
2021-03-01,ADANIGREEN,28692.0,502.0,24209.0,3124.0,182,1.34,0%,-453.0
2021-03-01,ADANIPORTS,74582.0,2236.0,35855.0,12550.0,5049,24.58,20%,-2994.0
2021-03-01,BEL,29492.0,1306.0,3.0,14109.0,2100,2.87,46%,1422.0
2021-03-01,BHEL,55960.0,185.0,4951.0,17309.0,-2700,-7.75,0%,123.0
2021-03-01,CDSL,1084.0,709.0,0.0,344.0,201,9.59,47%,38.0
2021-03-01,CIPLA,24855.0,2710.0,2014.0,19160.0,2389,29.82,17%,141.0
2021-03-01,DRREDDY,26588.0,2212.0,3031.0,19048.0,1952,23.47,21%,1286.0
2021-03-01,EXIDEIND,28406.0,18807.0,509.0,10359.0,803,9.53,21%,11.0
2021-03-01,HAL,53096.0,1121.0,53.0,22882.0,3246,48.53,31%,6867.0
