Period,Stock,Sales,Net Profit,EPS in Rs,Promoters,FIIs,DIIs,Government,Public
2022-12-01,LAURUSLABS,1545.0,203,3.77,27.20%,21.90%,9.51%,,41.38%
2022-12-01,MOTILALOFS,1076.0,227,3.83,69.46%,7.35%,5.95%,,17.22%
2022-12-01,NMDC,3720.0,914,1.04,60.79%,6.60%,20.23%,,12.34%
2022-12-01,PAYTM,2062.0,-392,-6.04,,72.80%,1.87%,,25.32%
2022-12-01,PGEL,459.0,14,0.6,61.33%,2.32%,6.47%,,29.86%
2022-12-01,PRAJIND,911.0,62,3.39,32.87%,17.61%,7.69%,,41.84%
2022-12-01,RELIANCE,216737.0,17806,11.67,50.49%,23.48%,15.26%,0.16%,10.59%
2022-12-01,SAIL,25042.0,542,1.31,65.00%,4.34%,10.73%,0.00%,19.94%
2022-12-01,SKIPPER,445.0,10,0.84,71.89%,9.62%,0.00%,,18.50%
2022-12-01,SUZLON,1458.0,78,0.06,14.50%,7.65%,5.82%,0.00%,72.02%
2022-12-01,TATAMOTORS,88489.0,3043,8.91,46.39%,13.89%,15.21%,0.14%,24.36%
2022-12-01,VEDL,34102.0,3091,6.63,69.68%,7.90%,11.05%,0.07%,11.07%
2022-12-01,YESBANK,5874.0,55,0.02,,23.24%,38.19%,0.01%,38.54%
2022-12-01,ZYDUSLIFE,4257.0,631,6.15,74.98%,2.52%,13.61%,0.07%,8.81%
2023-03-01,ADANIGREEN,2598.0,507,3.21,57.26%,17.13%,1.45%,,24.16%
2023-03-01,ADANIPORTS,5797.0,1139,5.36,61.03%,17.99%,13.02%,0.00%,7.95%
2023-03-01,BEL,6479.0,1382,1.89,51.14%,16.42%,25.50%,,6.95%
2023-03-01,BHEL,8227.0,658,1.89,63.17%,8.58%,15.50%,,12.76%
2023-03-01,CDSL,125.0,63,3.02,20.00%,14.67%,18.48%,,46.85%
2023-03-01,CIPLA,5739.0,522,6.51,33.55%,27.42%,21.83%,0.21%,16.99%
2023-03-01,DRREDDY,6315.0,960,11.53,26.69%,27.25%,23.05%,,22.78%
2023-03-01,EXIDEIND,3677.0,181,2.12,45.99%,12.32%,18.92%,,22.76%
2023-03-01,HAL,12495.0,2831,42.33,71.65%,9.07%,13.93%,0.00%,5.34%
2023-03-01,HINDZINC,8509.0,2583,6.11,64.92%,0.80%,2.94%,29.54%,1.79%
2023-03-01,IDEA,10532.0,-6419,-1.32,50.36%,2.28%,0.54%,33.18%,13.64%
2023-03-01,JMFINANCIL,846.0,32,0.6,56.49%,21.24%,7.47%,,14.80%
2023-03-01,KAYNES,365.0,41,7.1,63.57%,8.16%,12.96%,,15.31%
2023-03-01,KOLTEPATIL,797.0,121,15.45,74.45%,1.27%,4.83%,,19.45%
2023-03-01,KOTAKBANK,11982.0,4566,22.99,25.95%,39.42%,21.31%,,13.30%
2023-03-01,KPITTECH,1017.0,112,4.07,39.49%,23.42%,12.30%,,23.41%
2023-03-01,LAURUSLABS,1381.0,105,1.91,27.20%,22.42%,9.74%,,40.64%
