Ticker,Column,MAE,RMSE
NIFTYBEES.NS,Close,15.949638787776303,16.717580336148878
NIFTYBEES.NS,Open,6.617820015757266,8.019237641770555
NIFTYBEES.NS,High,15.536512748831615,17.031196330881865
NIFTYBEES.NS,Low,19.90714297851751,21.641067363144398
NMDC.NS,Close,4.528275516760061,5.201859974620649
NMDC.NS,Open,3.633842242562795,4.458080238352704
NMDC.NS,High,5.372591568599781,5.938943541595774
NMDC.NS,Low,6.211388260163609,6.878066220525385
PGEL.NS,Close,352.87193379423394,376.58538023892663
PGEL.NS,Open,248.4506748040848,267.4242880703384
PGEL.NS,High,348.50606575819,376.8614198672667
PGEL.NS,Low,314.0828404065472,338.36671057136175
PRAJIND.NS,Close,50.85685032166421,61.028154901467225
PRAJIND.NS,Open,52.31126240985582,60.34387600331225
