[2025-06-30 10:46:51]  38 root - INFO - Reading data from C:\Users\katch\Desktop\projects\stock_portfolio\notebooks\Data\un_processed_data\stock_price_with_indicators.csv
[2025-06-30 10:50:30]  185 root - INFO - Trained model for JUNIORBEES.NS
[2025-06-30 10:50:36]  185 root - INFO - Trained model for KAYNES.NS
[2025-06-30 10:50:46]  185 root - INFO - Trained model for KOLTEPATIL.NS
[2025-06-30 10:50:56]  185 root - INFO - Trained model for KOTAKBANK.NS
[2025-06-30 10:51:06]  185 root - INFO - Trained model for KPITTECH.NS
[2025-06-30 10:51:17]  185 root - INFO - Trained model for LAURUSLABS.NS
[2025-06-30 10:51:26]  185 root - INFO - Trained model for MAHKTECH.NS
[2025-06-30 10:51:35]  185 root - INFO - Trained model for MASPTOP50.NS
[2025-06-30 10:51:41]  185 root - INFO - Trained model for MID150BEES.NS
[2025-06-30 10:51:45]  185 root - INFO - Trained model for MODEFENCE.NS
[2025-06-30 10:51:57]  185 root - INFO - Trained model for MON100.NS
[2025-06-30 10:52:08]  185 root - INFO - Trained model for MOTILALOFS.NS
[2025-06-30 10:52:20]  185 root - INFO - Trained model for NIFTYBEES.NS
[2025-06-30 10:52:33]  185 root - INFO - Trained model for NMDC.NS
[2025-06-30 10:52:44]  185 root - INFO - Trained model for PAYTM.NS
[2025-06-30 10:52:54]  185 root - INFO - Trained model for PGEL.NS
[2025-06-30 10:52:59]  185 root - INFO - Trained model for PHARMABEES.NS
[2025-06-30 10:53:09]  185 root - INFO - Trained model for PRAJIND.NS
[2025-06-30 10:53:13]  185 root - INFO - Trained model for PSUBNKIETF.NS
[2025-06-30 10:53:23]  185 root - INFO - Trained model for RELIANCE.NS
[2025-06-30 10:53:34]  185 root - INFO - Trained model for SAIL.NS
[2025-06-30 10:53:44]  185 root - INFO - Trained model for SKIPPER.NS
[2025-06-30 10:53:54]  185 root - INFO - Trained model for SUZLON.NS
[2025-06-30 10:54:04]  185 root - INFO - Trained model for TATAMOTORS.NS
[2025-06-30 10:54:13]  185 root - INFO - Trained model for UTINEXT50.NS
